# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 6 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-22966
# Timestamp: Mon, 28-Jan-2019 15:44:11
Gene ID	Gene Name	Design Element	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.tStat
AT1G01560	MPK11	259428_at										-0.1	0.999983176775512	-1.04612066688442				0.3	0.709302542917483	0.827569088593573
AT1G01570	AT1G01570	259433_at							-0.1	0.999896457276583	-1.34392554705412									
AT1G01600	CYP86A4	259429_at	-0.4	0.323888076450149	-2.22945126842222															
AT1G01610	GPAT4	259430_at				-0.2	0.384939580616798	-1.25528351729772	-0.1	0.999896457276583	-0.612877319611447									
AT1G01630	AT1G01630	261563_at							-0.1	0.999896457276583	-1.1064411115114	-0.2	0.999983176775512	-1.20724890924742						
AT1G01640	AT1G01640	261586_at	0.3	0.57786657190406	1.38751242961717							0.2	0.999983176775512	1.47294414072496						
AT1G01650	SPPL4	257484_at							-0.1	0.999896457276583	-1.38113213832825	-0.1	0.999983176775512	-0.525904712352043						
AT1G01660	AT1G01660	261587_at				-0.1	0.751477869764682	-0.480384860530209	-0.2	0.999896457276583	-2.82907959299193									
AT1G01670	PUB56	261588_at										-0.1	0.999983176775512	-0.761054509249606						
AT1G01710	AT1G01710	261560_at										0.1	0.999983176775512	0.652860329709552						
AT1G01720	NAC002	261564_at							-0.2	0.999896457276583	-1.52604378480607	0.1	0.999983176775512	0.35114883495805						
AT1G01725	AT1G01725	261535_at	0.2	0.749189683605966	0.915591793597678				0.1	0.999896457276583	1.05142402255384									
AT1G01740	BSK4	261591_at							-0.1	0.999896457276583	-1.25457558368259									
AT1G01750	ADF11	261562_at							-0.1	0.999896457276583	-1.17855039900213	-0.2	0.999983176775512	-1.57590502597838						
AT1G01760	AT1G01760	261592_at							-0.1	0.999896457276583	-1.24000273416941	-0.1	0.999983176775512	-0.727039740374668						
AT1G01770	AT1G01770	261558_at										0.3	0.999983176775512	1.30920646259023						
AT1G01790	KEA1	261536_at							-0.1	0.999896457276583	-1.05361928559552	0.1	0.999983176775512	1.14463989626076						
AT1G01800	AT1G01800	261537_at							0.1	0.999896457276583	0.816878690394355									
AT1G01820	PEX11C	261534_at	0.4	0.327288148847685	2.20722121238802							-0.1	0.999983176775512	-0.673223032321469						
AT1G01830	AT1G01830	261538_at							0.1	0.999896457276583	1.46761702467212									
AT1G01840	AT1G01840	261539_at							0.1	0.999896457276583	1.18354195780602	0.1	0.999983176775512	0.711067348938599						
AT1G01860	PFC1	261652_at										-0.1	0.999983176775512	-1.21938222432573						
AT1G01900	SBTI1.1	261653_at				-0.1	0.470337624390342	-1.04322967456078	-0.2	0.999896457276583	-1.0523399066897	0.2	0.999983176775512	2.27722076185004						
AT1G01910	AT1G01910	261627_at							-0.1	0.999896457276583	-1.41744025531384									
AT1G01920	AT1G01920	261654_at							0.1	0.999896457276583	1.35840346449006									
AT1G01930	AT1G01930	261625_at							-0.1	0.999896457276583	-0.733366812121572	0.1	0.999983176775512	0.874003620547565						
AT1G01960	BIG3	261621_at				-0.2	0.349759216397511	-1.34825572988351	-0.1	0.999896457276583	-1.17247195029583	0.2	0.999983176775512	1.01947648265008						
AT1G01990	AT1G01990	261626_at										-0.1	0.999983176775512	-0.648450291632655						
AT1G02000	GAE2	261624_at							-0.2	0.999896457276583	-1.45772567586431	-0.1	0.999983176775512	-0.468121723231222						
AT1G02020	AT1G02020	264169_at										0.1	0.999983176775512	0.687673646820671						
AT1G02050	PKSA	264175_at							0.1	0.999896457276583	1.32506665741066									
AT1G02060	AT1G02060	264167_at				-0.1	0.589314702582684	-0.79331145926377	-0.1	0.999896457276583	-0.731292908757715	0.2	0.999983176775512	1.02577874263858						
AT1G02070	AT1G02070	264151_at							0.1	0.999896457276583	0.91345968712607	-0.1	0.999983176775512	-1.6922665505809						
AT1G02080	AT1G02080	264168_at	-0.3	0.368797222803209	-2.06354066810689	-0.3	0.441795197245558	-1.11718028860005	-0.2	0.999896457276583	-1.77235970221838	0.1	0.999983176775512	0.870581294972454						
AT1G02090	CSN7	264150_at							-0.1	0.999896457276583	-0.75256208496149									
AT1G02100	LCMT1	264171_at							-0.1	0.999896457276583	-0.748361438426783									
AT1G02110	AT1G02110	264176_at				-0.1	0.534877360793197	-0.906618785669715	0.1	0.999896457276583	0.604237351967172	0.3	0.999983176775512	1.42678062860728						
AT1G02120	VAD1	264172_at							0.1	0.999896457276583	0.79546213583028									
AT1G02150	AT1G02150	264177_at										0.1	0.999983176775512	0.450607411731384						
AT1G02160	AT1G02160	264173_at							0.1	0.999896457276583	1.32948598840638									
AT1G02170	AMC1	264178_at				-0.2	0.415653144147651	-1.18231371254315				0.2	0.999983176775512	1.44615083247703						
AT1G02180	AT1G02180	264179_at							-0.1	0.999896457276583	-0.949486285920057	-0.1	0.999983176775512	-1.06431855349103						
AT1G02190	AT1G02190	264180_at							0.1	0.999896457276583	0.921839935282658	0.1	0.999983176775512	0.700436247853744						
AT1G02205	CER1	264147_at				-0.2	0.447675117393841	-1.10165701231579												
AT1G02220	NAC003	264148_at							-0.2	0.999896457276583	-0.541977803269726	-0.1	0.999983176775512	-0.394712899305691	-0.1	0.853850058759507	-0.531267395275224			
AT1G02260	AT1G02260	264170_at				-0.4	0.0397628384585591	-3.48800580836024	-0.1	0.999896457276583	-0.518004777928315									
AT1G02270	AT1G02270	264123_at										-0.1	0.999983176775512	-0.737812383555363						
AT1G02280	TOC33	264121_at				0.4	0.0367854038459278	3.55942135144422	0.1	0.999896457276583	1.28530718525045									
AT1G02300	CATHB1	259441_at	-0.1	0.801004127360377	-0.741903299784578				0.2	0.999896457276583	1.63305204907198									
AT1G02305	CATHB2	259416_at										-0.1	0.999983176775512	-0.627535823463659						
AT1G02310	MAN1	259442_at				0.1	0.543942920560551	0.885739050332939	-0.1	0.999896457276583	-0.50132168704389	-0.1	0.999983176775512	-0.947133593432761						
AT1G02330	CSU2	259415_at	0.1	0.876831784756196	0.466534110010502							0.1	0.999983176775512	0.6092298785995						
AT1G02340	HFR1	259417_at				0.5	0.038952945651405	3.50543363804379				-0.1	0.999983176775512	-0.418786248101941						
AT1G02360	AT1G02360	259443_at							-0.1	0.999896457276583	-0.49705064668813	-0.2	0.999983176775512	-1.93697425162477						
AT1G02370	AT1G02370	259444_at										0.1	0.999983176775512	0.853432220982376						
AT1G02390	GPAT2	259418_at				-0.3	0.0587200312160971	-3.07735079198971	0.1	0.999896457276583	0.980620719167938									
AT1G02400	GA2OX6	259445_at							-0.1	0.999896457276583	-1.00083681569862	-0.1	0.999983176775512	-0.469818280686512						
AT1G02410	COX11	259446_at							-0.1	0.999896457276583	-1.50248295421518	-0.1	0.999983176775512	-0.605781064193704						
AT1G02420	AT1G02420	259414_at							-0.1	0.999896457276583	-1.21001154523827	0.1	0.999983176775512	0.399649062834023						
AT1G02450	NIMIN-1	260904_at										-0.1	0.999983176775512	-1.46642732018284						
AT1G02460	AT1G02460	260903_at							-0.1	0.999896457276583	-1.64715585530987	-0.1	0.999983176775512	-0.806511930992126						
